Time,Date,Exchange,Name,Ticker,Mkt Cap,EPS
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Crestwood Equity Partners LP,CEQP,1784436000.0,-1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Encore Wire Corp,WIRE,1438200000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,AXT Inc,AXTI,415386000.0,N/A
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",IQVIA Holdings Inc,IQV,47738960000.0,N/A
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",GasLog Partners LP,GLOP,254083100.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Hubbell Inc,HUBB,10617750000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Renasant Corp,RNST,2043641000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",John Bean Technologies Corp,JBT,4349796000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Pentair PLC,PNR,11378170000.0,N/A
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Triton International Ltd,TRTN,3345020000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Repligen Corp,RGEN,11525550000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Entegris Inc,ENTG,16220820000.0,N/A
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Transcat Inc,TRNS,458275700.0,N/A
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Teladoc Health Inc,TDOC,23424560000.0,-1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,South Plains Financial Inc,SPFI,424250900.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Enphase Energy Inc,ENPH,24178830000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Microsoft Corp,MSFT,2181671000000,N/A
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,NortonLifeLock Inc,NLOK,14950980000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Teradyne Inc,TER,21415100000.0,N/A
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Adamis Pharmaceuticals Corp,ADMP,151863900.0,N/A
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",CTS Corp,CTS,1101138000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,NorthWestern Corp,NWE,3188626000.0,0.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,First Foundation Inc,FFWM,984311800.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",NexPoint Residential Trust Inc,NXRT,1533509000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Alphabet Inc,GOOGL,1813907000000,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Alphabet Inc,GOOG,1813907000000,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Fiserv Inc,FISV,74538150000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Archer-Daniels-Midland Co,ADM,32410310000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Manhattan Associates Inc,MANH,9489166000.0,1.0
amc,2021-07-27,NYSE MKT LLC,Gold Resource Corp,GORO,154833600.0,N/A
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Paramount Group Inc,PGRE,2165421000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",USANA Health Sciences Inc,USNA,2047549000.0,0.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Lincoln Electric Holdings Inc,LECO,8091767000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Paccar Inc,PCAR,30403960000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Mattel Inc,MAT,6668594000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Extra Space Storage Inc,EXR,22922390000.0,N/A
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,First Interstate BancSystem Inc,FIBK,2596872000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",EPR Properties,EPR,3954505000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,WesBanco Inc,WSBC,2155455000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Pacific Premier Bancorp Inc,PPBI,3529830000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Apple Inc,AAPL,2479115000000,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Chemed Corp,CHE,7652700000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",General Electric Co,GE,111576500000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Navient Corp,NAVI,3638734000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Horizon Bancorp Inc,HBNC,702308000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Boston Scientific Corp,BSX,62690590000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Encompass Health Corp,EHC,7921303000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Donegal Group Inc,DGICA,470370800.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Cheesecake Factory Inc,CAKE,2411335000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",IDEX Corp,IEX,17297090000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Pultegroup Inc,PHM,14218580000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Stanley Black & Decker Inc,SWK,32975620000.000004,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Stryker Corp,SYK,98960360000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Tremont Mortgage Trust,TRMT,48008170.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Olin Corp,OLN,6911091000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Waste Management Inc,WM,61782520000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Simmons First National Corp,SFNC,2888574000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",United Parcel Service Inc,UPS,184239500000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Graphic Packaging Holding Co,GPK,4916690000.0,0.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Sirius XM Holdings Inc,SIRI,26303630000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Principal Financial Group Inc,PFG,16916450000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Flushing Financial Corp,FFIC,676980900.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Hersha Hospitality Trust,HT,369409000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Sensata Technologies Holding PLC,ST,8677068000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Invesco Ltd,IVZ,11453220000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Centene Corp,CNC,42807700000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Turning Point Brands Inc,TPB,868157900.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",3M Co,MMM,116219000000,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",TransUnion,TRU,22141060000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Shutterstock Inc,SSTK,3856931000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Sherwin-Williams Co,SHW,76053610000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Raytheon Technologies Corp,RTX,130009900000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Rockwell Automation Inc,ROK,34735950000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Polaris Inc,PII,8219911000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",MSCI Inc,MSCI,47908960000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Lamb Weston Holdings Inc,LW,11044320000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,JetBlue Airways Corp,JBLU,4917371000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Corning Inc,GLW,35092930000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Franklin Electric Co Inc,FELE,3812179000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Ecolab Inc,ECL,62302900000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",DTE Energy Co,DTE,22542120000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Commvault Systems Inc,CVLT,3785812000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Camden National Corp,CAC,666261500.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Armstrong World Industries Inc,AWI,5056879000.0,1.0
bmo,2021-07-27,NASDAQ NMS - GLOBAL MARKET,AudioCodes Ltd,AUDC,1051615000.0,1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Arch Resources Inc,ARCH,928502700.0,-1.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Asbury Automotive Group Inc,ABG,3800367000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Veritex Holdings Inc,VBTX,1588752000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Visa Inc,V,531108199999.99994,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,UMB Financial Corp,UMBF,4199395999.9999995,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Trustmark Corp,TRMK,1924898000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Hanover Insurance Group Inc,THG,4758127000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Tenable Holdings Inc,TENB,4855705000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",STAG Industrial Inc,STAG,6414674000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Starbucks Corp,SBUX,148430500000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Ovintiv Inc,OVV,7140659000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Nabors Industries Ltd,NBR,706088600.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Maxim Integrated Products Inc,MXIM,26643140000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Matador Resources Co,MTDR,3594550000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Monolithic Power Systems Inc,MPWR,18954050000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Mondelez International Inc,MDLZ,91151710000.0,-1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Masimo Corp,MASI,15099820000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Liberty Oilfield Services Inc,LBRT,2023319000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Luther Burbank Corp,LBC,638573500.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Juniper Networks Inc,JNPR,9035795000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Imax Corp,IMAX,1005536000.0,-1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Horizon Technology Finance Corp,HRZN,338732600.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Highwoods Properties Inc,HIW,4898944000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Hanmi Financial Corp,HAFC,533166300.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Hawaiian Holdings Inc,HA,1005279000.0,-1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Equity Residential,EQR,31723140000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Eastgroup Properties Inc,EGP,7089015000.0,0.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,CoStar Group Inc,CSGP,35532350000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,CH Robinson Worldwide Inc,CHRW,12351990000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Chubb Ltd,CB,75053360000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Boyd Gaming Corp,BYD,6296704000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Boston Properties Inc,BXP,17932930000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",AXIS Capital Holdings Ltd,AXS,4160876000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",A10 Networks Inc,ATEN,880851400.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Advanced Micro Devices Inc,AMD,111964200000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,Agilysys Inc,AGYS,1304167000.0,1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",American Assets Trust Inc,AAT,2211471000.0,-1.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",First Commonwealth Financial Corp,FCF,1276701000.0,1.0
amc,2021-07-27,NASDAQ NMS - GLOBAL MARKET,First Busey Corp,BUSE,1238135000.0,0.0
amc,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Nov Inc,NOV,5301029000.0,0.0
bmo,2021-07-27,"NEW YORK STOCK EXCHANGE, INC.",Teck Resources Ltd,TECK,11196380000.0,0.0
